Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,252,252.000,947,1637,2619,3945,4594,8182,10963,21187,25770
1,312,312.000,656,1251,2022,3188,3861,6541,8001,15234,17035
2,425,425.000,442,889,1557,2343,2964,4999,6586,9997,14065
3,406,406.000,336,852,1653,2462,3224,5719,6621,10133,13803
4,383,383.000,348,833,1719,2595,3330,5734,6986,12844,19485
5,366,366.000,282,987,1636,2716,3569,5934,7001,11765,12638
6,520,520.000,281,726,1626,1923,2622,3322,5687,6237,12868
7,539,539.000,295,747,1662,1840,2584,3244,4160,6094,7241
8,449,449.000,259,776,1633,2220,2782,4842,5939,12170,17134
9,457,457.000,289,772,1636,2178,2765,5335,6013,8311,13716
10,460,460.000,289,797,1662,2167,2916,4276,5778,8006,14665
11,455,455.000,271,771,1602,2187,2919,4648,5859,11310,12102
12,371,371.000,267,839,1899,2682,3574,5825,6576,12130,16143
13,464,464.000,276,766,1688,2129,2764,4396,6021,10873,20646
14,591,591.000,251,725,1555,1683,2427,2893,3199,5842,6099
15,480,480.000,228,754,1588,2078,2737,4295,5772,10593,13574
16,551,551.000,258,688,1283,1805,2496,3143,5476,6413,14187
17,513,513.000,233,728,1595,1946,2490,3596,5654,8489,12226
18,487,487.000,270,713,1601,2049,2759,4156,6001,8231,12119
19,594,594.000,219,688,1350,1675,2398,2928,3705,5827,9823
20,586,586.000,240,689,1519,1701,2429,2987,3276,5818,9916
21,575,575.000,253,686,1385,1743,2357,3062,5333,6187,15735
22,588,588.000,253,686,1493,1688,2456,3023,3472,5776,7005
23,546,546.000,259,703,1607,1824,2535,3178,5476,6006,8494
24,512,512.000,281,707,1641,1950,2679,3519,5416,7085,9652
25,545,545.000,241,697,1529,1827,2501,3126,5277,8570,13978
26,428,428.000,282,822,1588,2332,2789,4485,6724,13348,27910
27,598,598.000,252,727,1113,1663,2437,3043,3307,5843,6733
28,464,464.000,262,754,1561,2150,2797,4636,5844,11156,15492
29,409,409.000,252,793,1585,2438,3185,5752,6201,11827,14495
30,580,580.000,231,689,1435,1726,2570,3127,3533,5871,7639
31,581,581.000,220,689,1282,1708,2492,3056,3470,6181,17689
32,587,587.000,221,687,1559,1698,2498,2965,3301,5839,6651
33,585,585.000,241,698,1559,1705,2452,3028,3614,5934,6404
34,542,542.000,247,691,1554,1839,2535,3188,5276,6796,12808
35,513,513.000,217,731,1446,1944,2617,3531,5573,8383,21283
36,552,552.000,245,731,1702,1806,2591,3114,3479,5851,8235
37,594,594.000,228,707,1525,1679,2483,3001,3258,5803,6173
38,588,588.000,240,703,1532,1698,2387,3021,3277,5670,6267
39,611,611.000,209,709,1156,1629,2494,2961,3200,5779,6268
40,571,571.000,212,710,1406,1746,2524,3064,5457,5996,13598
41,610,610.000,218,706,968,1635,2354,3059,3351,5789,6174
42,531,531.000,247,721,1540,1881,2560,3364,5419,6122,13725
43,561,561.000,239,713,1440,1773,2519,3114,4438,6073,11651
44,514,514.000,248,739,1616,1940,2564,3289,5572,6164,11071
45,532,532.000,239,688,1639,1878,2543,3209,5428,6549,13232
46,494,494.000,245,700,1407,2022,2724,4561,5675,10951,13148
47,633,633.000,242,659,784,1569,2228,3001,3655,5825,11316
48,499,499.000,244,691,1556,2010,2478,4461,5724,11551,13049
49,591,591.000,250,703,1489,1677,2396,3016,3549,5979,7295
50,584,584.000,249,699,1531,1709,2505,3031,3298,5814,7093
51,515,515.000,245,786,1617,1939,2577,3436,5048,7532,12005
52,360,360.000,254,950,1820,2770,3324,5992,7777,13761,18830
53,544,544.000,250,746,1598,1839,2615,3319,4623,6098,6983
54,556,556.000,239,696,1343,1786,2482,3226,5269,6739,11570
55,449,449.000,248,755,1592,2220,2845,5508,6397,12609,13738
56,383,383.000,297,1169,1641,2610,3596,5504,5988,10794,25184
57,527,527.000,294,694,1420,1889,2628,3520,5421,6468,10901
58,487,487.000,295,722,1598,2046,2653,4335,5595,11229,13721
59,592,592.000,284,679,1382,1679,2335,3101,4769,5903,10181
