Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,199,199.000,1326,1891,4394,5013,6427,9774,13543,20255,27658
1,375,375.000,701,1097,1872,2633,3459,5149,7365,11432,16645
2,438,438.000,426,874,1745,2275,2940,4777,6158,10196,14635
3,478,478.000,353,813,1534,2086,2653,4454,6007,7878,14129
4,514,514.000,345,778,1577,1932,2634,3229,4690,9432,17455
5,377,377.000,382,1097,1833,2643,3243,5917,6410,12377,13241
6,407,407.000,314,789,1723,2449,2937,5688,6912,11704,30528
7,429,429.000,339,904,1742,2313,3092,4770,5907,10965,12362
8,510,510.000,330,739,1563,1951,2571,3286,5736,9890,14842
9,467,467.000,380,841,1804,2139,2822,3746,5849,6993,12900
10,538,538.000,326,728,1490,1841,2510,3315,5413,6582,16167
11,533,533.000,333,718,1553,1867,2551,3249,5473,6063,12778
12,543,543.000,305,708,1530,1834,2603,3116,5459,6517,12874
13,569,569.000,297,758,1546,1749,2486,3106,3477,6056,11496
14,456,456.000,321,746,1682,2188,2777,4980,5974,11792,14103
15,529,529.000,313,716,1532,1875,2591,3411,5416,6341,14309
16,591,591.000,297,684,1408,1686,2409,3012,5212,5747,6515
17,546,546.000,320,718,1583,1822,2506,3177,5483,6500,7412
18,604,604.000,299,699,1282,1651,2420,3020,3286,5901,6576
19,540,540.000,326,723,1515,1842,2571,3280,4212,6346,21245
20,464,464.000,278,733,1629,2151,2809,5022,5947,8552,12839
21,603,603.000,257,681,1111,1653,2411,2958,3500,5703,6615
22,600,600.000,296,682,1293,1661,2290,3019,5289,5981,7726
23,620,620.000,270,679,1118,1608,2364,2868,3202,5733,7775
24,550,550.000,298,700,1515,1811,2496,3165,5533,6762,13968
25,368,368.000,271,782,1505,2708,2628,3382,5900,10054,268272
26,525,525.000,249,704,1540,1899,2544,3312,5473,7486,12970
27,484,484.000,266,742,1625,2062,2659,3826,5745,10910,12162
28,457,457.000,310,773,1613,2183,2928,4814,6110,8602,11185
29,377,377.000,359,843,1647,2645,3397,6318,8264,13164,19560
30,382,382.000,276,963,1732,2601,3194,5604,7498,12751,18622
31,543,543.000,291,750,1609,1838,2651,3164,4278,5868,7928
32,574,574.000,288,715,1555,1736,2457,3036,3401,6336,7896
33,592,592.000,264,732,1184,1683,2429,3086,3521,5931,7911
34,571,571.000,285,712,1403,1744,2440,3128,4438,5836,10974
35,490,490.000,291,721,1649,2034,2707,4511,5596,8564,16449
36,609,609.000,273,667,1225,1636,2414,3028,3384,5724,6598
37,608,608.000,286,661,997,1640,2423,3066,3770,5780,6043
38,447,447.000,269,774,1699,2232,2956,4807,5870,8847,18760
39,602,602.000,281,703,1179,1656,2405,3007,3350,5807,8051
40,585,585.000,287,716,1435,1702,2431,3068,3414,5831,6253
41,535,535.000,298,719,1533,1863,2601,3215,5362,6692,12953
42,597,597.000,293,707,1477,1669,2339,3001,3338,5807,5967
43,503,503.000,297,752,1578,1983,2532,3457,5416,7023,42250
44,505,505.000,297,751,1706,1978,2701,3489,5593,6178,12821
45,545,545.000,274,721,1539,1824,2569,3187,5418,5936,11041
46,580,580.000,292,719,1265,1719,2476,3104,3761,5917,11835
47,432,432.000,305,825,1683,2308,2973,5219,6267,9107,12639
48,571,571.000,267,673,1513,1746,2406,3021,5086,6447,12791
49,566,566.000,277,707,1403,1760,2493,3192,5390,6236,7496
50,590,590.000,277,712,1234,1689,2453,3067,3417,5834,7946
51,475,475.000,313,769,1592,2107,2576,4695,6693,8662,17072
52,353,353.000,325,1041,2009,2823,4242,5446,7215,10505,10981
53,457,457.000,258,766,1777,2178,2879,5199,5697,7013,10890
54,576,576.000,281,735,1357,1736,2422,3083,5326,5950,6778
55,590,590.000,294,721,1473,1690,2472,3064,3271,5771,6762
56,573,573.000,306,727,1502,1737,2512,3030,3340,5803,9668
57,497,497.000,251,727,1526,2006,2649,4742,5614,7187,12536
58,613,613.000,257,672,1252,1621,2404,2925,3254,5560,5852
59,554,554.000,284,690,1465,1794,2459,3111,5364,5802,20349
