Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,308,308.000,658,1493,2732,3222,4180,5513,8457,11455,19300
1,388,388.000,486,1044,1875,2566,3399,5111,7412,10749,16961
2,447,447.000,367,924,1787,2226,2957,4163,6322,7610,10188
3,309,309.000,595,1388,2801,3235,4521,5987,6505,11842,13730
4,290,290.000,664,1472,2951,3447,4737,6240,7495,13046,14337
5,399,399.000,370,847,1730,2477,3107,5774,6811,11892,13140
6,299,299.000,463,1351,2009,3330,4886,6287,7658,14255,17805
7,273,273.000,374,1453,2734,3663,5570,6771,7998,14719,15462
8,242,242.000,632,1510,3288,4122,5433,8195,11790,16883,20406
9,297,297.000,637,1346,2770,3346,4901,6011,8719,12075,15842
10,395,395.000,323,815,1837,2538,3063,5835,6951,13144,15896
11,266,266.000,616,1532,2121,3723,5467,7107,8232,14953,21571
12,439,439.000,351,798,1556,2271,2874,5476,6491,11763,13777
13,400,400.000,329,833,1735,2513,3216,5870,6843,11709,15490
14,272,272.000,626,1477,2929,3641,5049,6813,8405,14227,18073
15,309,309.000,351,1371,2079,3225,4788,6973,7886,13198,20985
16,470,470.000,334,819,1557,2116,2907,4444,5759,7345,13473
17,272,272.000,572,1475,2692,3658,4848,6901,9990,15580,21139
18,310,310.000,501,1378,2001,3226,4686,6630,8039,12903,19328
19,387,387.000,343,825,1920,2567,3191,5623,7001,11889,12825
20,327,327.000,355,1353,1798,3045,4518,6310,7463,13776,18063
21,494,494.000,321,709,1448,2015,2662,4160,5631,11405,13398
22,428,428.000,322,750,1785,2328,2807,5096,6203,12997,18930
23,452,452.000,283,777,1622,2204,2955,4830,5914,7939,14130
24,328,328.000,335,1323,1686,3049,4465,6294,7575,14166,17726
25,359,359.000,335,1130,2274,2768,3909,5482,6186,10018,14565
26,385,385.000,335,928,1814,2589,3212,5612,6534,12723,14757
27,176,176.000,453,1488,2877,5688,6161,10275,13069,15307,261569
28,272,272.000,545,1475,2197,3666,5420,6696,10836,13630,15985
29,330,330.000,354,1284,1705,3016,4576,6266,7150,12747,15878
30,303,303.000,513,1302,1976,3295,4683,6420,7822,13336,14373
31,485,485.000,286,781,1538,2054,2685,3355,5753,11673,14238
32,391,391.000,311,1136,1588,2559,3362,5423,6089,11964,16117
33,338,338.000,304,1287,1843,2943,4434,5898,6342,12206,13990
34,338,338.000,303,1330,1844,2951,4252,6446,7551,13101,14108
35,445,445.000,304,764,1729,2239,2983,5322,5876,7431,11765
36,229,229.000,363,1042,2065,4353,3315,6385,8502,15091,344130
37,327,327.000,335,1279,2064,3046,4122,6733,7626,14768,16735
38,430,430.000,317,776,1829,2319,2781,4990,6122,13384,14489
39,397,397.000,301,917,1692,2514,3167,5561,6398,13508,16493
40,349,349.000,317,1051,2151,2856,3988,6137,7020,9389,14189
41,387,387.000,308,929,1917,2575,2944,5877,7153,13438,16579
42,405,405.000,294,762,1728,2468,2839,5637,7026,12897,15135
43,314,314.000,296,1342,2039,3176,4787,6416,7594,13016,14305
44,401,401.000,298,1023,1678,2489,3207,5559,6035,12628,15895
45,349,349.000,265,1277,1832,2858,4233,6098,7009,13214,15661
46,450,450.000,309,806,1796,2215,2889,5006,5859,6961,8519
47,317,317.000,523,1293,2249,3154,4385,6007,6693,11891,26786
48,308,308.000,278,1453,1848,3230,4476,6924,9008,15016,18475
49,355,355.000,266,1178,2016,2807,3935,5649,6488,11495,14390
50,419,419.000,314,821,1861,2381,3095,4845,5823,10155,11909
51,524,524.000,289,775,1629,1901,2695,3400,5764,6765,9036
52,356,356.000,337,1007,1942,2802,3734,6077,7151,10630,15864
53,448,448.000,293,744,1724,2228,2951,5150,5866,8952,13002
54,326,326.000,336,1457,1952,3067,4494,6446,7798,12792,14986
55,245,245.000,345,1713,2984,4055,6325,7742,8943,14798,16202
56,223,223.000,635,1890,2681,4472,6308,9356,10722,17248,19164
57,411,411.000,314,820,1775,2440,2726,5758,7280,13028,25543
58,413,413.000,305,817,1881,2409,2990,5721,6765,7864,16152
59,482,482.000,299,781,1712,2058,2797,3806,5774,7824,11649
