Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,228,228.000,1423,1929,3130,4387,6307,7945,8755,17525,24873
1,246,246.000,570,1766,2800,4034,5672,7778,9238,16461,18146
2,354,354.000,451,996,1959,2816,3641,6559,7418,13894,19101
3,293,293.000,545,1289,2340,3389,4409,7144,8734,13558,29380
4,399,399.000,347,993,1914,2503,3185,4511,6859,14845,20651
5,465,465.000,399,840,1676,2131,2749,3546,6374,8896,30019
6,447,447.000,363,798,1872,2220,2837,4639,6170,9739,14978
7,503,503.000,383,782,1701,1990,2750,3345,4485,6626,18746
8,404,404.000,363,804,1795,2453,3143,6089,6766,9253,15798
9,404,404.000,422,971,2008,2459,3254,4705,6043,9809,12037
10,493,493.000,326,808,1537,2019,2777,3440,6205,8518,14077
11,462,462.000,355,819,1767,2159,2822,3781,6318,8908,13502
12,412,412.000,401,916,1886,2412,3147,4604,7053,9095,15643
13,450,450.000,368,848,1763,2202,2876,3894,6271,8125,18029
14,417,417.000,361,926,1843,2390,3142,4889,6283,8327,10489
15,498,498.000,348,784,1758,1997,2747,3493,5885,7045,9941
16,443,443.000,360,815,1775,2244,3053,4253,6207,7572,12901
17,502,502.000,322,763,1414,1985,2737,3452,6057,7841,17889
18,460,460.000,340,798,1781,2165,2870,3796,6293,8496,15393
19,518,518.000,333,787,1712,1924,2696,3347,5483,6445,9232
20,518,518.000,312,757,1323,1924,2794,3438,5930,6300,10217
21,519,519.000,322,759,1498,1925,2776,3401,5557,6369,7589
22,470,470.000,342,746,1815,2116,2766,3684,5865,8440,31354
23,483,483.000,322,726,1602,2066,2739,4030,6016,8976,15163
24,521,521.000,318,745,1483,1914,2674,3335,4874,7753,14604
25,552,552.000,304,726,1274,1800,2547,3280,5670,6159,7787
26,458,458.000,323,763,1613,2178,2869,4394,6066,12216,13595
27,550,550.000,331,762,1382,1814,2660,3205,3629,6140,7325
28,433,433.000,343,952,1692,2301,3187,4192,5916,8981,12778
29,471,471.000,337,868,1523,2108,2928,3835,5868,7671,10818
30,404,404.000,353,871,1828,2472,3083,5595,6705,10904,15287
31,435,435.000,291,791,1685,2286,2806,3923,6433,13996,21213
32,226,226.000,488,1588,2643,4417,5966,9865,12111,25967,29139
33,379,379.000,383,955,1850,2630,3495,5194,7107,11434,22617
34,326,326.000,376,1009,2164,3044,3687,6782,8809,12606,26293
35,281,281.000,398,1227,2510,3549,4052,7514,10180,15308,22181
36,313,313.000,417,1170,2254,3192,4342,6712,8101,11011,17746
37,478,478.000,336,824,1535,2070,2969,3755,5815,7622,14945
38,268,268.000,425,1276,2666,3723,4705,7781,10460,23790,25689
39,327,327.000,411,1114,2464,3036,3879,6663,8086,10562,24822
40,368,368.000,378,1043,2052,2701,3770,5140,6991,9797,15585
41,216,216.000,411,1642,2911,4620,5998,8685,10432,36420,54223
42,265,265.000,406,1209,2480,3751,4283,6681,8475,15980,120771
43,403,403.000,362,962,2024,2477,3423,4707,6534,9405,15990
44,295,295.000,384,892,2122,3371,3569,7132,9992,17640,76610
45,326,326.000,388,952,2209,3060,3602,7009,9117,15399,24498
46,213,213.000,634,1538,3595,4722,6056,8800,14487,24219,25203
47,367,367.000,344,924,2147,2684,3514,5158,7333,12544,28853
48,379,379.000,322,1129,2194,2625,3707,4809,6050,8775,12153
49,457,457.000,368,891,1887,2177,3127,3887,5390,7643,9236
50,378,378.000,369,960,2086,2634,3470,5930,7553,8995,16010
51,427,427.000,357,893,1667,2333,3265,4087,6793,8076,18641
52,345,345.000,417,1115,2336,2891,3840,5836,7849,9889,15293
53,381,381.000,375,986,2041,2615,3665,5060,6708,9695,11860
54,269,269.000,412,1214,2245,3697,4293,7223,10793,24792,56357
55,392,392.000,382,974,1626,2533,3638,4477,7093,12647,16317
56,370,370.000,417,978,2132,2699,3445,5585,7480,9724,19483
57,411,411.000,375,927,2122,2418,3442,4112,6871,8002,8831
58,366,366.000,372,1016,2200,2729,3548,5479,7215,15755,21849
59,283,283.000,412,1222,2478,3499,4123,7603,9223,19885,21162
