Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,276,276.000,716,1322,2618,3602,4345,8076,9424,17296,18319
1,401,401.000,548,1081,2096,2489,3300,4321,6431,9047,18092
2,418,418.000,375,859,1837,2364,2887,4981,6496,13237,15852
3,434,434.000,370,806,1715,2294,2875,4864,6209,12406,13935
4,545,545.000,303,761,1457,1835,2584,3327,3876,6593,13622
5,570,570.000,345,690,1540,1741,2399,3086,4366,6062,13726
6,556,556.000,297,697,1544,1790,2483,3133,5507,6086,13361
7,457,457.000,343,756,1722,2171,2717,4663,6061,8600,12357
8,523,523.000,321,724,1542,1902,2577,3308,5581,7213,15287
9,557,557.000,291,671,1535,1787,2581,3114,5614,6081,14731
10,438,438.000,260,714,1684,2276,2974,5405,6032,7665,17539
11,577,577.000,304,684,1480,1723,2436,3032,5411,5929,6226
12,572,572.000,311,670,1437,1739,2465,3104,5470,6132,7663
13,403,403.000,306,782,1769,2460,3137,5562,6307,11502,12568
14,522,522.000,323,745,1608,1908,2618,3290,5194,6942,16259
15,600,600.000,265,663,1155,1668,2402,2974,5410,5766,8305
16,561,561.000,285,672,1527,1767,2546,3086,4446,5845,9882
17,502,502.000,264,673,1515,1986,2623,4514,5657,6640,19261
18,545,545.000,294,693,1499,1826,2562,3177,5500,6237,7606
19,478,478.000,264,719,1638,2083,2646,4491,5914,12509,13953
20,514,514.000,308,721,1380,1938,2602,3329,5721,11203,14421
21,461,461.000,323,767,1655,2167,2753,4772,5764,7327,13791
22,536,536.000,307,681,1452,1855,2498,3264,5518,7093,12102
23,521,521.000,311,740,1281,1912,2658,3741,5663,6699,11347
24,501,501.000,268,719,1537,1991,2722,3541,5650,7361,16544
25,592,592.000,319,723,1526,1686,2447,3022,3276,5870,5978
26,500,500.000,313,747,1627,1990,2695,3654,5750,7907,16408
27,513,513.000,301,812,1437,1939,2800,3608,4471,6609,8940
28,324,324.000,305,1283,1931,3079,3743,6764,8523,15735,18643
29,518,518.000,303,718,1680,1922,2691,3400,5702,6655,10658
30,449,449.000,325,831,1608,2213,3079,4100,5382,9149,20375
31,568,568.000,315,710,1289,1752,2552,3103,3676,6471,8713
32,548,548.000,290,684,1504,1819,2576,3231,5527,6948,8878
33,525,525.000,319,751,1560,1900,2798,3432,4088,6595,11653
34,358,358.000,353,966,1898,2780,3480,5067,8077,14966,42804
35,529,529.000,290,716,1342,1877,2660,3480,5721,6203,13756
36,308,308.000,387,993,2026,3231,3820,7066,9272,19582,34912
37,401,401.000,291,875,1829,2481,3385,5287,6603,9805,15886
38,466,466.000,283,742,1676,2141,2820,4020,5912,10612,15277
39,410,410.000,393,894,1698,2421,3089,4834,7019,10029,17324
40,431,431.000,335,819,1768,2315,3040,4907,6066,9788,17636
41,398,398.000,307,806,1909,2494,3052,5548,6927,10654,28895
42,411,411.000,313,816,1922,2430,3123,4792,6667,8244,29345
43,355,355.000,311,852,1844,2802,3109,6627,8810,16843,28640
44,588,588.000,299,697,1493,1696,2471,3075,3321,5913,6543
45,476,476.000,310,799,1623,2091,2811,3603,4743,10253,21719
46,340,340.000,264,987,2114,2928,3864,6174,7907,14242,19814
47,346,346.000,354,887,2076,2884,3545,6842,8194,17174,19009
48,446,446.000,360,831,1608,2231,3120,4298,6393,8576,14327
49,429,429.000,296,790,1769,2316,2916,4889,6234,12843,15879
50,304,304.000,287,982,2055,3300,4352,7192,10696,16317,27573
51,188,188.000,781,1953,4548,5305,7147,9966,13455,22028,23209
52,468,468.000,308,792,1894,2112,2888,3820,5735,8613,11539
53,402,402.000,365,978,2038,2476,3404,4650,6406,7912,13612
54,514,514.000,331,786,1539,1936,2703,3701,4828,7282,8245
55,452,452.000,281,876,1752,2205,3091,4110,5359,8628,14030
56,348,348.000,389,960,1970,2856,3405,6416,8086,12420,24778
57,597,597.000,316,681,1473,1671,2477,3055,3252,5649,6052
58,574,574.000,284,677,1501,1738,2487,3133,5004,6179,11414
59,625,625.000,281,667,1058,1586,2258,2902,3275,5824,8295
