Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,149,149.000,1545,2699,5452,6694,9538,11394,16962,26999,30079
1,168,168.000,1053,2341,5144,5866,8507,10096,13297,21792,22462
2,293,293.000,823,1479,2497,3394,4517,6609,8901,12922,16325
3,331,331.000,582,1177,2207,3008,3808,5989,7979,15115,20471
4,310,310.000,508,1069,2218,3207,3486,7141,8789,17320,49737
5,381,381.000,422,1032,1868,2606,3406,5608,7053,12353,13581
6,314,314.000,420,1297,2125,3172,4411,6814,7588,13595,15610
7,292,292.000,399,1494,2111,3407,5145,7318,8518,14985,17002
8,356,356.000,417,1136,1927,2822,3564,6155,7173,13634,20875
9,389,389.000,392,912,2088,2537,3174,6177,7369,8885,11445
10,339,339.000,391,1178,2135,2933,3914,6620,7632,11555,15371
11,351,351.000,372,1040,1881,2836,3662,6070,7524,15121,16938
12,288,288.000,604,1367,2220,3446,4562,7607,9724,15302,16911
13,339,339.000,407,1021,2038,2936,3650,6276,7372,13692,63870
14,320,320.000,378,1136,2295,3102,3994,6409,8032,14892,17856
15,290,290.000,384,1487,2398,3442,5184,6969,7826,13895,15188
16,299,299.000,460,1389,1969,3319,4793,7022,8074,14365,17350
17,273,273.000,636,1462,2250,3678,5351,7487,8343,16935,18045
18,302,302.000,409,1133,2284,3253,4430,7006,8249,14804,15597
19,328,328.000,469,1104,2180,3048,3800,7210,8027,14352,18943
20,251,251.000,501,1455,1786,3953,5478,7825,10107,14671,60568
21,286,286.000,409,1383,2134,3470,4988,7943,9134,16783,18573
22,402,402.000,368,923,1817,2471,3377,4608,7010,9537,17406
23,379,379.000,316,865,1796,2627,3212,6551,7956,11058,13607
24,317,317.000,367,1278,2060,3145,3971,6630,8466,16443,22057
25,245,245.000,629,1614,2094,4067,5792,7519,9296,16788,21197
26,244,244.000,716,1662,2246,4102,5748,8193,12447,19886,24466
27,294,294.000,420,1332,1866,3377,4452,7038,8978,15637,57841
28,354,354.000,338,1111,1994,2814,3771,6174,7264,13582,14469
29,310,310.000,378,1020,2064,3231,4365,7434,9049,15541,16447
30,369,369.000,385,823,2022,2691,3290,6233,7684,11525,19169
31,265,265.000,437,1525,2231,3764,5617,8051,9583,17237,18283
32,284,284.000,343,1429,2286,3510,4176,8204,9824,17380,19036
33,195,195.000,788,1871,2730,5129,7688,10487,12474,17645,18080
34,179,179.000,523,1917,3003,5623,8068,11112,16977,29200,73621
35,323,323.000,420,981,2145,3048,3757,6949,8259,15340,19066
36,222,222.000,840,1723,3736,4491,6716,8833,9849,14579,17418
37,170,170.000,1121,2154,4255,5856,8401,11238,17366,24226,31419
38,200,200.000,426,1858,3208,4981,7076,11332,14025,20393,21623
39,186,186.000,492,2045,3102,5402,7309,12414,15054,25069,25345
40,143,143.000,915,2066,5732,6930,9623,12579,16805,40066,54510
41,173,173.000,888,2152,4854,5761,8333,10767,13171,21194,22646
42,256,256.000,412,1502,2896,3894,5199,8497,10190,16239,19898
43,199,199.000,775,1837,4301,5021,7076,9672,12103,18042,18212
44,238,238.000,468,1682,2889,4184,6299,8330,9886,16434,18807
45,331,331.000,340,865,1908,3006,3845,7000,8506,14206,19360
46,334,334.000,383,1202,2279,2994,3687,5898,7336,9147,65022
47,362,362.000,319,907,1797,2740,3681,6422,7643,13031,14925
48,316,316.000,399,1177,2161,3150,4438,6832,8811,11673,15805
49,259,259.000,364,1720,2697,3869,5584,7737,9198,15822,18010
50,233,233.000,391,1707,2742,4274,6210,9431,10963,16901,20584
51,290,290.000,284,1171,2019,3434,4372,7902,10121,15877,18022
52,281,281.000,466,1113,2130,3548,3952,8967,10359,19523,20909
53,371,371.000,374,947,1935,2709,3408,5358,7301,17980,18566
54,351,351.000,393,962,2097,2813,3462,5437,8994,11397,18681
55,237,237.000,384,1705,2560,4205,6090,8298,9206,16806,55684
56,304,304.000,343,1330,2337,3270,4081,7446,9036,13179,18320
57,385,385.000,393,921,1984,2587,3315,5880,7280,10030,15134
58,296,296.000,372,1335,2053,3390,4582,7232,9545,17934,20142
59,198,198.000,570,1911,3409,4971,7329,9799,11320,19610,20636
