Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,134,134.000,1727,3476,6213,7427,9484,14526,18286,25437,36912
1,235,235.000,511,1784,3095,4227,5617,8630,10443,15828,32512
2,139,139.000,762,2211,5447,7143,9163,16220,18035,33812,35650
3,455,455.000,405,883,1700,2196,2848,3944,6235,10568,17764
4,431,431.000,365,839,1706,2304,2797,5263,6261,13080,14322
5,261,261.000,399,1188,2596,3813,5191,8564,11822,17206,21591
6,311,311.000,353,1116,2368,3205,4352,6223,9542,13457,16269
7,275,275.000,417,1489,2144,3609,5196,7679,11275,18352,24207
8,276,276.000,448,1217,2500,3599,4939,7991,9966,15085,21232
9,306,306.000,404,1073,2438,3253,3981,6896,9605,16498,22013
10,380,380.000,370,936,1914,2619,3226,5763,6978,13765,16769
11,542,542.000,332,707,1490,1837,2536,3224,5829,6441,7915
12,361,361.000,363,814,1834,2763,3324,6095,7160,17120,20054
13,515,515.000,316,766,1494,1957,2669,3888,5514,6642,19026
14,465,465.000,331,776,1552,2104,2743,4598,5910,8763,18595
15,539,539.000,290,756,1545,1847,2524,3247,5088,6657,14363
16,432,432.000,303,786,1789,2312,3089,4987,6328,8807,16047
17,429,429.000,288,756,1634,2304,2912,5402,6584,9398,23030
18,413,413.000,314,818,1728,2416,2942,5275,6192,13332,17541
19,574,574.000,269,721,1296,1727,2534,3143,3666,5951,11735
20,585,585.000,329,717,1162,1707,2435,3113,5200,5849,6693
21,618,618.000,321,707,897,1611,2390,3046,3272,5741,6027
22,572,572.000,298,722,1551,1740,2513,3123,3749,5880,7464
23,562,562.000,302,711,1263,1773,2451,3136,4862,6533,13239
24,584,584.000,287,724,1229,1706,2454,3063,3837,6306,7531
25,589,589.000,290,726,1067,1692,2479,3152,3968,6150,6593
26,580,580.000,297,718,1218,1733,2491,3077,4613,5969,12828
27,542,542.000,297,717,1514,1822,2474,3186,5412,6246,18765
28,502,502.000,322,773,1250,1983,2611,3640,5296,9836,18452
29,328,328.000,342,961,2169,3044,4391,6841,8777,12013,20689
30,446,446.000,310,750,1743,2249,2889,4566,6064,12393,16835
31,497,497.000,302,750,1600,1995,2585,3537,5717,7090,13356
32,478,478.000,291,695,1560,2080,2627,5284,5910,7901,13992
33,577,577.000,276,692,1237,1736,2445,3095,5594,6040,16722
34,461,461.000,297,715,1573,2152,2714,4590,6025,8557,20047
35,611,611.000,247,710,1185,1632,2407,2990,3215,5701,6116
36,603,603.000,305,701,1529,1653,2362,2954,3200,5662,6505
37,505,505.000,303,720,1612,1976,2601,3675,5769,7205,13479
38,499,499.000,265,720,1502,1996,2757,4428,5501,7796,12614
39,586,586.000,284,707,1553,1700,2455,3085,3294,5698,9064
40,594,594.000,294,697,1042,1677,2357,3142,5531,5881,8248
41,424,424.000,295,728,1560,2354,2901,5171,6353,12615,14545
42,478,478.000,291,697,1415,2085,2695,4559,5838,10245,14656
43,558,558.000,268,677,1556,1787,2509,3136,4741,6107,13211
44,437,437.000,316,728,1604,2281,3016,5383,6053,7973,13978
45,467,467.000,306,782,1672,2133,2913,4004,5631,8488,12616
46,450,450.000,293,724,1597,2225,2762,5302,6011,11791,21568
47,373,373.000,294,834,1880,2667,3169,5903,7984,12191,22693
48,476,476.000,305,732,1612,2101,2841,4111,6836,9341,10276
49,216,216.000,311,1749,3945,4625,6925,8695,10541,16327,24134
50,246,246.000,507,1508,2582,4041,5586,8840,9808,17623,18311
51,202,202.000,648,1589,3725,4929,6771,10486,13891,20029,23201
52,324,324.000,430,1140,2183,3080,4472,5851,8705,11802,17982
53,355,355.000,321,989,1967,2802,3829,5308,6904,13077,18661
54,336,336.000,302,899,2058,2969,4003,6971,9238,13691,14884
55,372,372.000,322,836,2043,2682,3482,6432,7797,12455,14169
56,520,520.000,302,759,1299,1909,2634,3921,5537,6755,13289
57,512,512.000,287,704,1546,1963,2630,4173,5429,7699,18068
58,454,454.000,249,679,1609,2177,2720,4388,5966,11897,22554
59,401,401.000,260,789,1707,2461,3165,5587,6193,10534,19404
