Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,250,250.000,1213,1699,3194,3977,5087,7070,11569,14631,22076
1,349,349.000,495,1157,1920,2852,3648,6070,7467,11939,14785
2,445,445.000,371,906,1699,2237,2854,4156,6088,11360,12906
3,461,461.000,347,892,1667,2162,2864,3963,5217,8648,14168
4,451,451.000,342,852,1664,2211,2920,4751,5688,10208,12237
5,542,542.000,345,725,1606,1829,2523,3159,5396,6451,13758
6,525,525.000,286,695,1604,1908,2525,3194,5535,7340,24819
7,390,390.000,290,1155,1650,2542,3379,5549,6040,11658,12033
8,555,555.000,327,705,1400,1797,2404,3152,5560,7060,15593
9,579,579.000,335,716,1096,1717,2399,3109,5282,6276,11708
10,416,416.000,313,790,1564,2394,3200,5362,6163,11479,13935
11,610,610.000,297,706,1054,1633,2354,3030,3293,5809,10951
12,578,578.000,309,696,1576,1720,2485,3053,3334,5753,6093
13,610,610.000,294,693,1276,1633,2415,2994,3230,5691,5962
14,559,559.000,299,703,1252,1785,2493,3164,5328,6990,15714
15,529,529.000,290,717,1675,1883,2528,3165,5384,6604,13351
16,565,565.000,269,710,1407,1761,2504,3056,3773,6282,18311
17,648,648.000,264,688,1206,1540,2297,2831,3072,5531,6113
18,590,590.000,263,693,1296,1689,2391,3035,5122,5768,11563
19,549,549.000,274,661,1401,1819,2485,3153,5344,6387,16583
20,604,604.000,281,699,1316,1645,2396,2995,3235,5629,7031
21,484,484.000,296,665,1649,2063,2768,4474,5564,11891,14619
22,536,536.000,276,704,1449,1865,2499,3245,5391,10109,12386
23,529,529.000,283,676,1470,1878,2432,3223,5463,12290,17196
24,378,378.000,293,1113,1860,2641,3445,5787,6696,12463,13318
25,601,601.000,289,688,1414,1661,2465,2991,3263,5693,6442
26,557,557.000,294,700,1344,1788,2449,3137,5528,7099,13401
27,528,528.000,280,695,1521,1886,2528,3389,5274,6801,17009
28,592,592.000,278,657,1396,1684,2375,2987,4832,6975,10849
29,451,451.000,303,735,1563,2212,2793,4886,5750,11348,15086
30,428,428.000,290,770,1588,2338,3207,4976,5847,11997,19403
31,442,442.000,278,695,1569,2249,2749,5300,6105,12818,13887
32,601,601.000,283,650,1148,1659,2260,3061,5176,5802,14419
33,531,531.000,286,667,1353,1877,2594,4301,5466,6747,11635
34,575,575.000,290,688,1290,1739,2527,3232,5151,6092,8912
35,571,571.000,271,636,1514,1741,2421,3068,5294,5694,10583
36,620,620.000,272,639,1259,1607,2420,2959,3214,5515,5986
37,579,579.000,278,640,1403,1725,2315,3046,5280,7287,14007
38,457,457.000,284,705,1549,2178,2776,5114,5761,12233,13333
39,441,441.000,295,781,1674,2266,2880,5142,5806,11957,14713
40,598,598.000,290,676,1469,1666,2451,3020,3809,5747,6484
41,516,516.000,238,687,1479,1934,2665,4168,5317,7567,12561
42,595,595.000,263,648,1493,1673,2467,3021,3605,5566,7080
43,582,582.000,286,682,1257,1721,2499,3040,4914,7003,11005
44,592,592.000,245,677,998,1676,2415,3057,5244,6195,9893
45,633,633.000,272,637,1323,1575,2325,2895,3221,5531,5824
46,548,548.000,255,647,1521,1828,2352,3147,5320,7297,14555
47,622,622.000,279,638,1280,1595,2313,2839,4420,5652,7698
48,639,639.000,269,638,1446,1561,2235,2801,3139,5627,7205
49,605,605.000,283,640,1412,1649,2341,2934,5032,5789,11366
50,630,630.000,266,636,1470,1586,2284,2825,3092,5607,8985
51,534,534.000,287,700,1577,1868,2582,3443,5231,6016,12917
52,556,556.000,293,725,1559,1785,2549,3142,3485,6203,15212
53,456,456.000,312,864,1532,2187,2913,4585,5707,10015,11105
54,503,503.000,283,719,1644,1981,2584,3409,4976,7417,20288
55,579,579.000,297,665,1491,1718,2494,3076,4784,5809,6699
56,529,529.000,250,679,1611,1884,2417,3230,5414,8620,14209
57,440,440.000,276,1079,1599,2274,2923,5296,5673,8738,13048
58,564,564.000,278,654,1462,1764,2451,3111,5267,7181,12635
59,538,538.000,288,703,1357,1849,2477,3256,5407,6753,17861
