Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,149.800,1.287,0.640,0.779,0.918,1.656,1.975,2.369,4.387,16.568,0.777
5,221.200,0.843,0.599,0.682,0.734,0.822,1.288,1.429,1.758,9.594,1.186
10,244.200,0.781,0.586,0.669,0.707,0.771,0.904,1.233,1.616,9.445,1.280
15,226.400,0.871,0.600,0.683,0.723,0.822,1.300,1.486,2.297,10.852,1.149
20,240.200,0.741,0.574,0.643,0.681,0.736,0.888,1.252,1.539,3.022,1.350
25,230.000,0.787,0.555,0.650,0.687,0.745,0.931,1.488,1.752,14.256,1.270
30,230.800,0.758,0.563,0.637,0.681,0.746,0.980,1.313,1.724,7.763,1.318
35,243.200,0.714,0.565,0.634,0.670,0.719,0.801,1.183,1.398,1.856,1.400
40,238.200,0.746,0.567,0.638,0.676,0.742,0.937,1.290,1.583,2.412,1.341
45,245.600,0.769,0.550,0.661,0.700,0.770,0.934,1.242,1.602,5.307,1.301
50,222.400,0.805,0.579,0.681,0.733,0.803,0.994,1.394,1.957,3.432,1.242
55,234.800,0.760,0.582,0.654,0.692,0.756,0.918,1.297,1.721,4.051,1.316
