Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,167,167.000,1495,2318,4826,5937,7332,12388,14414,24191,49708
1,150,150.000,1566,2598,6106,6625,9160,12153,13898,22294,27322
2,142,142.000,834,2835,5394,7015,9327,14069,16748,33757,35410
3,193,193.000,748,1546,3459,5148,6898,10827,13280,27692,36161
4,153,153.000,648,2061,4612,6513,9782,13593,17075,31326,37103
5,189,189.000,715,2398,3287,5269,7749,10465,11755,25905,26065
6,254,254.000,693,1321,2955,3934,4690,9072,10089,22118,32366
7,272,272.000,553,1300,2648,3651,4552,8729,10103,14819,21697
8,288,288.000,519,1190,2730,3457,4593,6799,9422,16420,23867
9,290,290.000,533,1221,2823,3426,4489,6555,9287,15374,19949
10,272,272.000,527,1217,2613,3648,4066,9061,11005,20287,29429
11,315,315.000,579,1179,2614,3189,4087,5300,8873,18855,25713
12,163,163.000,1040,2166,4926,6073,8762,11408,16802,25894,26603
13,266,266.000,537,1206,3002,3741,4825,8592,10011,17389,22913
14,182,182.000,586,2069,3723,5461,7704,10965,12526,22534,23170
15,155,155.000,1036,2431,5697,6437,9608,11798,13897,22278,25603
16,182,182.000,606,2040,3950,5504,8549,10958,12534,23501,26573
17,260,260.000,429,1232,2860,3806,4691,8568,10196,18571,29579
18,352,352.000,489,1165,2137,2821,3954,5132,6872,10134,13129
19,231,231.000,519,1232,2934,4320,4822,9365,12985,25708,32618
20,238,238.000,516,1895,2591,4194,6266,8797,9759,13036,21721
21,208,208.000,511,1938,3028,4812,6941,10184,11826,18927,31904
22,178,178.000,924,2153,3848,5563,7807,10077,17542,26053,26559
23,243,243.000,481,1456,2570,4105,6061,9288,10947,18330,20187
24,220,220.000,526,1787,3263,4528,5780,9680,12928,20182,32511
25,283,283.000,514,1166,2578,3508,4648,7916,8981,12805,22490
26,367,367.000,439,1062,2344,2713,3772,4977,6853,9528,10632
27,304,304.000,525,1219,2620,3280,4317,6051,8812,14942,17728
28,300,300.000,435,1082,2438,3320,4220,7421,8647,17663,40176
29,318,318.000,490,1116,2321,3129,4327,5874,9532,12151,14302
30,176,176.000,536,2060,3871,5640,8458,12707,15047,25874,30289
31,305,305.000,475,1139,2305,3267,4069,7811,9070,11029,17155
32,294,294.000,490,1100,2168,3389,4186,8440,9844,18867,19455
33,250,250.000,535,1375,2707,4015,5089,9147,10535,18134,20158
34,391,391.000,495,1056,1932,2515,3607,4602,6556,8630,9974
35,319,319.000,520,1062,2437,3124,4144,6638,8782,11755,19716
36,281,281.000,552,1194,2382,3537,4675,7960,8874,17344,18476
37,351,351.000,458,1108,2147,2834,4041,5332,6348,11015,16267
38,310,310.000,487,1046,2228,3215,4011,5983,8442,15067,77288
39,137,137.000,949,2059,2590,7572,7634,10281,11533,22849,373691
40,234,234.000,539,1302,2888,4082,4531,6942,11623,20068,91440
41,51,51.000,608,1265,2904,96348,4404,5817,10632,4752819,4752819
42,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,4,4.000,5213,8906,37723,27853,59572,59572,59572,59572,59572
46,116,116.000,1187,3286,6559,8466,11880,17304,24788,39646,40372
47,130,130.000,1253,2772,4658,7620,10441,17747,24821,33840,34414
48,184,184.000,562,2087,3520,5387,6893,11076,13613,27267,39154
49,193,193.000,571,2020,3999,5164,6648,10054,12227,25720,54952
50,279,279.000,612,1286,2505,3552,4868,7869,10978,13852,20816
51,252,252.000,393,1382,2728,3940,5261,7593,10587,21247,30924
52,258,258.000,436,1383,2488,3856,5077,8197,11699,17877,19269
53,328,328.000,375,901,2144,3039,3191,6489,8584,19720,29741
54,396,396.000,323,831,1989,2526,2994,5543,8463,12088,16908
55,199,199.000,558,1985,3751,5016,7545,10273,12106,17900,24549
56,319,319.000,402,1183,2065,3117,4011,6711,8495,15572,16957
57,537,537.000,303,740,1524,1850,2520,3189,5085,7166,17201
58,433,433.000,328,804,1683,2296,2950,4719,6026,7764,26460
59,313,313.000,401,1063,2089,3166,4490,6716,8338,13578,20199
