Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,270,270.000,805,1295,2343,3683,4597,7771,9085,22656,32307
1,419,419.000,452,954,1768,2367,3064,4891,6613,8886,15798
2,458,458.000,354,809,1632,2176,2962,4846,6116,9840,12939
3,297,297.000,398,1580,1981,3355,4971,7196,7938,13789,14593
4,360,360.000,345,1289,1949,2767,3314,5846,6611,12881,15721
5,423,423.000,363,852,1483,2360,3161,5125,6058,12260,15027
6,318,318.000,412,1401,1844,3138,4761,6184,6664,12319,14503
7,329,329.000,412,1379,1877,3021,4251,6211,6824,12753,13876
8,300,300.000,351,1469,2077,3320,4965,6669,7628,14413,16990
9,303,303.000,368,1525,1830,3293,4961,7190,8375,15042,16617
10,287,287.000,374,1589,1849,3495,5521,8039,8521,14907,16064
11,369,369.000,392,1188,1908,2706,3404,5855,6814,13217,14883
12,243,243.000,729,1613,2723,4087,6031,8080,9265,14998,15175
13,300,300.000,330,1421,1893,3322,4907,6982,8443,15019,19163
14,383,383.000,308,836,1748,2602,3260,6082,6842,12141,14441
15,252,252.000,631,1591,1903,3953,6028,7832,9308,14913,15095
16,364,364.000,335,839,1765,2742,3292,6131,7403,13408,15102
17,279,279.000,336,1513,2105,3567,5450,7542,8627,14220,14647
18,459,459.000,313,727,1663,2170,2702,4927,6581,8782,15294
19,424,424.000,352,832,1906,2347,2967,4804,5954,10503,15571
20,431,431.000,318,854,1688,2311,3028,4721,6280,7790,18608
21,361,361.000,366,936,1943,2761,3258,6259,7490,14139,31530
22,497,497.000,323,795,1182,2000,2795,3668,6064,7260,17139
23,390,390.000,345,918,1568,2553,3377,5774,7993,10661,14096
24,392,392.000,368,864,1768,2551,3345,5976,7004,9042,13343
25,427,427.000,347,778,1787,2329,2801,5225,6769,14357,17264
26,249,249.000,361,1775,2114,4018,6161,8403,9725,15983,16487
27,483,483.000,354,785,1780,2066,2826,3569,6250,7025,15787
28,297,297.000,370,1232,2112,3352,5098,7395,8801,15091,16044
29,385,385.000,353,825,1747,2598,3325,6182,7308,13848,16037
30,310,310.000,390,1068,1898,3216,4507,7201,8846,14325,16694
31,352,352.000,352,853,1934,2826,3281,6778,8171,14790,16743
32,297,297.000,330,1402,2111,3394,5171,6917,8652,16081,16655
33,255,255.000,380,1646,2250,3908,5896,8296,9498,15982,16406
34,208,208.000,827,1802,3261,4784,7405,8986,9704,16434,16716
35,307,307.000,361,1072,1937,3235,4676,7945,9433,14879,16800
36,240,240.000,480,1773,2047,4160,6845,9050,9891,16110,16692
37,269,269.000,368,1693,2149,3711,5706,8588,9841,15965,17513
38,408,408.000,348,834,1949,2448,3169,5028,6535,13495,14591
39,460,460.000,369,847,1700,2164,2932,3859,6422,7896,18599
40,291,291.000,347,990,2237,3434,4695,7935,9288,16445,25437
41,242,242.000,696,1596,2303,4127,6099,8080,10231,14408,16156
42,354,354.000,354,832,1867,2822,3643,6357,7890,10584,17862
43,192,192.000,732,1837,4673,5188,7912,9557,10017,16895,17246
44,386,386.000,324,814,1874,2580,3179,6061,6879,12286,19731
45,399,399.000,370,769,1807,2500,3228,6307,6980,10230,16642
46,470,470.000,352,768,1692,2123,2783,3764,6121,10443,15762
47,269,269.000,624,1502,1875,3712,5434,7019,8057,13929,14427
48,292,292.000,391,1409,1959,3413,5090,6772,8215,14190,17138
49,282,282.000,380,1505,2091,3534,5180,8202,9588,16238,19502
50,383,383.000,347,835,1917,2617,3213,6260,6988,10305,14090
51,304,304.000,303,1351,1774,3272,4666,7090,8505,14026,15400
52,462,462.000,326,808,1564,2149,2953,3970,6340,7408,11613
53,449,449.000,354,844,1845,2219,3107,4144,6266,7605,8336
54,363,363.000,331,807,2038,2746,3276,6510,7911,14511,16005
55,333,333.000,349,1389,1712,3004,3881,6411,7260,13585,21956
56,518,518.000,320,728,1619,1919,2729,3345,5220,7903,15708
57,360,360.000,297,861,1814,2773,3218,6942,7816,13124,15531
58,469,469.000,318,796,1728,2127,2735,4115,6000,8462,10482
59,247,247.000,650,1511,2956,4026,5863,7892,9608,15304,16341
