Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,253,253.000,956,1709,3538,3921,5374,6454,10029,15438,23451
1,244,244.000,928,1653,3182,4076,5494,8784,10018,10983,41288
2,174,174.000,1334,2484,3487,5730,8739,10633,10986,19951,20251
3,287,287.000,573,1323,2486,3456,4418,8277,9376,15887,20060
4,298,298.000,474,1309,2766,3373,4434,7466,8171,15211,16562
5,269,269.000,482,1564,2956,3683,5066,7531,8986,10727,18766
6,273,273.000,423,1246,2794,3642,4318,7782,10134,20530,22313
7,287,287.000,442,1217,2444,3380,4451,7315,8821,18589,23926
8,330,330.000,395,1100,2517,3027,4021,6637,8092,10645,17688
9,391,391.000,397,1083,2410,2543,3774,4573,4909,7675,13707
10,288,288.000,422,1144,2453,3465,4339,7514,8782,18534,56751
11,329,329.000,471,1077,2166,3021,4122,6578,8125,15663,18438
12,400,400.000,427,1058,2360,2486,3776,4574,4845,7503,8318
13,361,361.000,349,1075,2426,2766,3909,4861,7186,9628,10510
14,193,193.000,880,2010,4627,5152,7791,9174,10393,16487,17039
15,298,298.000,439,1137,2115,3354,4598,7672,8810,16328,17470
16,321,321.000,406,1096,2449,3096,4291,6731,7760,11539,31965
17,289,289.000,457,1142,2538,3452,3871,6176,7406,16945,68114
18,335,335.000,423,1131,2424,2971,3970,5105,7567,12994,17984
19,335,335.000,438,1102,1987,2970,4037,7114,8026,9211,15133
20,320,320.000,415,1094,2669,3129,4103,6733,8338,13545,18661
21,351,351.000,368,1052,2496,2832,3853,5012,7402,10769,18703
22,359,359.000,375,1048,2375,2773,3722,5017,7433,10670,18304
23,315,315.000,361,1114,2385,3144,4299,7015,8194,11094,16383
24,427,427.000,362,1039,1379,2338,3509,4441,4829,7479,8776
25,403,403.000,377,1027,1632,2468,3609,4574,7036,7541,9317
26,370,370.000,375,1051,2249,2695,3844,4625,5223,8181,63246
27,357,357.000,394,1062,2472,2792,3920,4883,7048,10475,20685
28,388,388.000,360,1057,1670,2564,3844,4793,6790,7536,15916
29,298,298.000,391,1117,2153,3347,4435,7579,8949,15474,16951
30,386,386.000,354,1038,2372,2589,3853,4679,6778,7533,8766
31,346,346.000,380,1024,2094,2873,3907,6660,7604,10126,17102
32,323,323.000,422,1099,2088,3100,4303,7257,8488,10518,15535
33,288,288.000,398,1140,2555,3452,4483,7109,8868,18549,23702
34,283,283.000,381,1178,2445,3520,4605,7702,9528,15509,16113
35,429,429.000,366,1048,1253,2323,3536,4590,5106,7798,9480
36,343,343.000,387,1060,2500,2914,4031,5012,7420,10857,16461
37,331,331.000,375,1041,2430,3013,4010,6187,8662,11108,16609
38,269,269.000,362,1183,2525,3700,4747,8184,9993,16417,19107
39,281,281.000,395,1198,2164,3562,4875,7800,9140,16276,16795
40,322,322.000,406,1170,2375,3082,4393,6213,7998,9997,12807
41,366,366.000,324,1032,2163,2731,3845,4748,7398,10410,22520
42,265,265.000,394,1144,2180,3765,4613,7599,8500,25556,61365
43,171,171.000,749,2135,3885,5812,9342,11032,15169,18626,18923
44,183,183.000,632,2199,3246,5463,8569,11229,13907,19884,22659
45,261,261.000,483,1298,2739,3820,4793,8276,9699,16695,18288
46,354,354.000,370,1068,2291,2814,4002,5041,7176,10152,12838
47,411,411.000,382,1053,1705,2436,3538,4553,5103,7451,9481
48,351,351.000,368,1042,1971,2829,3659,6754,7266,16056,18979
49,316,316.000,385,1205,2526,3154,4082,7032,8000,9941,16354
50,380,380.000,352,1131,2127,2623,3852,4979,5883,8278,10985
51,373,373.000,312,1068,2495,2684,3817,4732,6846,9470,13621
52,344,344.000,363,1141,2252,2978,4100,4939,6951,10593,61185
53,380,380.000,328,1038,1700,2540,3448,4776,7104,10488,15789
54,392,392.000,357,1047,2391,2538,3777,4530,4897,7966,8968
55,393,393.000,359,1023,1981,2537,3367,4580,7077,9359,15397
56,363,363.000,354,1030,1996,2755,4014,5315,7265,10765,16034
57,420,420.000,340,1010,1627,2367,3589,4511,4922,7224,7873
58,403,403.000,375,1032,1940,2492,3618,4557,6892,8235,11444
59,411,411.000,347,1011,1853,2404,3744,4444,4875,7024,7534
