Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,127,127.000,1477,2904,5876,7850,10505,18488,21064,28616,34023
1,208,208.000,914,2184,3286,4788,6235,9713,10641,20059,22539
2,148,148.000,1356,2626,6111,6799,9485,12952,18565,22129,23184
3,307,307.000,662,1274,2471,3205,4098,5575,8971,16595,20562
4,339,339.000,462,1174,2182,2948,3896,5515,8042,11373,19148
5,388,388.000,436,1131,2397,2559,3602,4710,5018,7786,8220
6,343,343.000,473,1094,2360,2906,3843,5225,7630,15998,18245
7,238,238.000,442,1290,2865,4158,6192,8896,10593,17351,18923
8,322,322.000,442,1153,2407,3122,3947,7273,8591,15858,19636
9,380,380.000,457,1138,1624,2593,3799,4784,5898,8995,10145
10,300,300.000,467,1142,2587,3330,4407,7254,8755,15606,19157
11,318,318.000,423,1119,2278,3123,4049,5299,7516,10246,97543
12,248,248.000,501,1911,2537,4014,5827,8280,9736,16159,17288
13,349,349.000,403,1096,2382,2855,3760,6008,7520,9888,16463
14,397,397.000,458,1066,1516,2506,3814,4753,5471,7835,7972
15,300,300.000,448,1124,2445,3322,4202,7560,9773,18155,19810
16,407,407.000,419,1043,1894,2444,3744,4486,4786,7361,7723
17,394,394.000,396,1054,1849,2528,3780,4682,6904,7855,9135
18,409,409.000,428,1045,2211,2442,3615,4521,4815,7416,8159
19,405,405.000,327,1051,1783,2444,3645,4465,4837,7594,8462
20,396,396.000,398,1055,1703,2512,3739,4677,6811,7528,7747
21,276,276.000,401,1165,2816,3607,4723,7833,9364,16435,20238
22,351,351.000,374,1091,2407,2829,3916,5193,7604,9649,18964
23,285,285.000,374,1768,2188,3488,5140,7993,9181,10652,15420
24,349,349.000,383,1049,2421,2853,3921,4994,7339,10892,16217
25,288,288.000,397,1169,2394,3449,4785,7425,8862,15300,16509
26,418,418.000,387,1030,1522,2398,3656,4598,5298,7368,8146
27,375,375.000,369,1031,2290,2653,3816,4741,6936,10688,12176
28,410,410.000,377,1027,1809,2426,3664,4533,4899,7442,8444
29,279,279.000,395,1158,2711,3570,4494,7443,9555,15901,21018
30,334,334.000,398,1103,2144,2983,4131,6683,7865,10676,18183
31,409,409.000,330,1019,1379,2439,3611,4718,6835,7283,20796
32,416,416.000,412,1021,2125,2397,3484,4467,4809,7443,7651
33,268,268.000,376,1590,2470,3718,5350,7753,9202,17141,19068
34,324,324.000,379,1049,2186,3077,3974,7023,8840,10267,17981
35,405,405.000,335,1022,1852,2462,3773,4666,5072,7402,9997
36,385,385.000,326,1072,2411,2595,3721,4613,5895,7681,11054
37,425,425.000,356,1060,1387,2348,3490,4459,4977,7862,10251
38,361,361.000,370,1035,2291,2753,3772,4562,5179,7345,92096
39,404,404.000,359,1029,2393,2468,3621,4492,4892,7442,7643
40,368,368.000,342,1090,2235,2711,3868,5066,7147,9297,11130
41,414,414.000,326,1045,1517,2400,3690,4511,4958,7550,8681
42,410,410.000,372,1033,1588,2438,3730,4612,5003,7463,7787
43,314,314.000,387,1096,2411,3182,4162,7304,8820,15623,17518
44,203,203.000,377,1792,2518,4925,7398,9765,14811,19672,40647
45,187,187.000,765,1994,2913,5349,8219,10637,13456,21341,21351
46,336,336.000,373,1118,2418,2939,3856,6896,9075,11403,12800
47,409,409.000,354,1079,1466,2440,3566,4515,4958,9919,18357
48,384,384.000,375,1107,2332,2600,3859,4835,6941,7550,7723
49,396,396.000,339,1081,2036,2516,3586,4613,5741,8615,16686
50,362,362.000,329,1063,2309,2759,3823,4768,7130,11521,17551
51,384,384.000,339,1024,1753,2593,3686,4829,6811,10870,16779
52,424,424.000,350,1015,1721,2345,3579,4416,4810,7013,12580
53,423,423.000,355,1023,1601,2359,3531,4560,4885,6992,7852
54,377,377.000,350,1022,2353,2647,3747,4685,6612,9432,18137
55,392,392.000,377,1039,1994,2537,3761,4658,5803,7323,8246
56,287,287.000,401,1185,2573,3471,4718,7767,8973,11625,18287
57,411,411.000,344,1014,1578,2427,3833,4530,4970,7330,7572
58,370,370.000,357,1054,2440,2702,3993,4977,6844,8910,11208
59,352,352.000,379,1088,2380,2813,3864,5610,7182,9530,10142
