Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,199,199.000,791,2105,3436,5019,6664,9564,14103,25164,31840
1,359,359.000,523,1102,2101,2760,3761,5820,7598,9596,17786
2,401,401.000,399,928,1800,2488,3231,5376,7029,12014,15598
3,360,360.000,363,1128,1811,2766,3656,6356,7112,11475,14515
4,432,432.000,391,817,1696,2307,3050,4978,6171,9405,13931
5,477,477.000,360,815,1697,2084,2799,3885,5976,7505,10026
6,543,543.000,354,743,1650,1835,2716,3287,3578,6282,10034
7,429,429.000,375,783,1781,2319,2868,5457,6193,9465,12641
8,472,472.000,353,771,1755,2110,2756,3620,6099,8341,15305
9,456,456.000,375,788,1867,2181,2975,3770,6459,8047,15030
10,520,520.000,346,811,1669,1918,2765,3443,3825,6695,17525
11,447,447.000,309,807,1651,2226,2913,4268,6231,11842,15228
12,463,463.000,345,798,1749,2148,2844,3946,6025,8425,13432
13,564,564.000,304,771,1154,1767,2558,3286,3584,6334,12590
14,478,478.000,333,801,2014,2082,2870,3418,4466,8012,13387
15,467,467.000,308,757,1628,2131,2840,3981,6014,10738,19525
16,565,565.000,304,732,1564,1764,2623,3205,3471,6295,6698
17,556,556.000,305,739,1442,1789,2566,3264,3560,6341,6546
18,573,573.000,332,729,879,1740,2542,3316,3521,6418,16495
19,563,563.000,329,745,1407,1774,2588,3302,3523,6457,7103
20,501,501.000,327,775,1659,1985,2832,3565,4588,7484,14292
21,488,488.000,316,738,1581,2042,2806,3711,6056,7403,13936
22,543,543.000,319,734,1081,1840,2756,3418,5270,6461,6824
23,386,386.000,322,889,1706,2579,3214,5783,6916,14023,16167
24,508,508.000,338,772,1484,1964,2833,3571,6108,6469,7602
25,441,441.000,303,812,1764,2263,2920,5060,6296,9018,15457
26,558,558.000,327,788,1361,1784,2558,3185,3537,6442,11964
27,482,482.000,329,802,1710,2067,2885,3587,6171,6964,14852
28,503,503.000,333,799,1646,1983,2853,3522,5913,6373,13575
29,547,547.000,303,734,1158,1832,2520,3323,4469,6979,23407
30,466,466.000,328,756,1881,2131,2868,3573,6033,8166,24604
31,468,468.000,295,729,1750,2132,2856,4363,6168,8999,15334
32,524,524.000,317,730,1737,1903,2745,3335,6009,6387,6719
33,544,544.000,281,746,1793,1834,2696,3290,3476,6195,7163
34,547,547.000,309,706,1633,1825,2635,3255,3487,6237,20257
35,582,582.000,288,708,1234,1710,2487,3182,3477,6191,6563
36,512,512.000,306,738,1623,1944,2734,3429,5861,6296,12485
37,516,516.000,276,750,1637,1933,2552,3377,5900,7812,15145
38,547,547.000,306,743,1298,1824,2669,3310,5534,6171,13194
39,558,558.000,311,746,1642,1784,2632,3245,3449,6102,6471
40,557,557.000,283,729,1317,1791,2615,3325,3819,5982,7145
41,505,505.000,306,728,1582,1976,2636,3484,5768,8413,15101
42,632,632.000,288,679,812,1578,2329,3052,3340,5841,6393
43,467,467.000,288,731,1589,2131,2878,5308,5837,6495,12839
44,562,562.000,272,679,1395,1778,2581,3221,5575,6184,12134
45,563,563.000,303,688,1636,1772,2503,3190,3434,5939,6486
46,599,599.000,298,678,1125,1661,2459,3113,3344,6106,6713
47,533,533.000,304,696,1525,1874,2590,3334,5558,6714,13599
48,564,564.000,296,735,1556,1765,2584,3179,3413,6056,6766
49,467,467.000,330,752,1721,2133,2874,4250,6075,9178,15555
50,528,528.000,292,733,1698,1891,2706,3337,5586,6417,6787
51,521,521.000,280,731,1751,1919,2711,3353,5349,6882,7995
52,516,516.000,280,712,1214,1926,2633,3327,5661,10605,22655
53,507,507.000,304,743,1497,1966,2601,3459,5801,7113,13324
54,526,526.000,305,763,1779,1894,2729,3325,4001,6171,7024
55,556,556.000,319,759,1379,1793,2538,3202,3577,6431,13336
56,558,558.000,306,746,1247,1787,2535,3259,3829,6113,15065
57,510,510.000,277,737,1433,1955,2760,3478,5886,6457,12341
58,557,557.000,281,709,1559,1789,2622,3236,3716,6138,6540
59,565,565.000,303,706,1100,1762,2553,3270,4507,6126,11489
