Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,173,173.000,1686,2327,4270,5756,7905,10473,14875,28250,38216
1,214,214.000,841,2043,3677,4633,6741,8596,10029,16350,16609
2,261,261.000,522,1430,2754,3806,5185,8173,9324,17499,25095
3,202,202.000,577,1684,2706,4954,6200,8456,12160,31136,78979
4,187,187.000,758,1956,3585,5301,6898,10249,13871,26339,56661
5,229,229.000,478,1959,2883,4395,5800,9019,10928,22382,31919
6,227,227.000,640,1752,2511,4335,6114,9589,10283,22864,26658
7,255,255.000,476,1526,2457,3902,4470,8066,10777,21004,73362
8,287,287.000,384,1064,1982,3494,4705,8214,9219,16079,16740
9,364,364.000,364,972,1938,2722,3425,6169,7409,15533,16244
10,288,288.000,561,1304,2164,3452,4560,7590,8814,15809,15923
11,365,365.000,418,987,2056,2717,3739,5732,7214,12238,13229
12,410,410.000,378,926,2012,2429,3285,4229,6930,7675,16443
13,395,395.000,411,941,1931,2525,3435,5625,7176,9286,13058
14,432,432.000,429,926,1866,2296,3113,4017,7022,7981,17554
15,420,420.000,396,920,1982,2365,3200,4123,7099,8512,11068
16,311,311.000,392,1036,2168,3215,4040,6828,9442,17246,22383
17,285,285.000,468,1090,2208,3478,4582,7980,9361,16827,18711
18,428,428.000,325,922,1817,2333,3243,4231,6298,8188,14882
19,236,236.000,572,1785,2686,4220,6423,8280,9192,16188,17455
20,277,277.000,308,1782,2219,3581,4127,8675,9804,17091,17752
21,330,330.000,371,870,1938,3020,3459,7641,8890,16893,17662
22,371,371.000,359,853,1826,2684,3058,6240,8825,16565,17640
23,477,477.000,357,818,1728,2074,2840,3744,6348,7005,13990
24,390,390.000,399,836,1880,2559,3040,6534,7700,15720,17611
25,213,213.000,712,1795,2878,4700,6962,9183,11074,17477,18295
26,359,359.000,379,873,1926,2762,3402,6319,7378,16117,18457
27,437,437.000,350,821,1799,2281,2988,4816,6452,7914,14974
28,372,372.000,377,922,1882,2690,3495,6326,7258,9154,14953
29,251,251.000,399,1612,2278,3979,6095,8238,10179,18216,20884
30,262,262.000,679,1599,2091,3774,5820,7952,8719,15661,16861
31,249,249.000,415,1100,2454,4000,4105,8415,14337,23389,82798
32,368,368.000,335,949,1863,2709,3519,6130,7310,9327,20150
33,413,413.000,373,854,1791,2409,3062,5573,6878,8139,14392
34,331,331.000,390,1117,2117,3011,3995,6535,7835,15490,16646
35,239,239.000,401,1762,2433,4166,6276,9072,10382,17758,19176
36,333,333.000,355,893,2151,3013,3578,7249,9028,14397,22444
37,358,358.000,369,923,2121,2769,3373,6469,8214,15083,17784
38,295,295.000,378,1463,2099,3381,4581,7394,8721,16178,20645
39,270,270.000,387,1708,2213,3698,5568,8039,8892,16554,17780
40,386,386.000,386,940,1957,2574,3343,5300,7103,10032,19307
41,328,328.000,393,1327,1982,3035,4054,7073,8000,12875,15990
42,365,365.000,372,930,2025,2726,3532,6003,7497,8759,15518
43,257,257.000,406,1776,2213,3879,5896,8968,9698,17164,19990
44,279,279.000,378,1356,2039,3571,5207,8189,10198,18269,22274
45,289,289.000,383,1582,2076,3447,5061,8174,9054,17052,18632
46,197,197.000,794,1954,4213,5058,7413,9128,10940,23236,23888
47,288,288.000,382,1170,2558,3471,4337,7138,10158,18554,21960
48,138,138.000,910,2291,5868,7193,8868,14221,18832,37987,74192
49,241,241.000,584,1670,3405,4152,5722,7973,9637,16064,18425
50,283,283.000,600,1366,2240,3514,5396,6578,7538,12472,12977
51,352,352.000,374,974,1917,2856,3549,6673,8028,15643,19325
52,271,271.000,405,1590,2105,3625,5105,8092,9254,17111,18052
53,439,439.000,366,880,1984,2270,3061,4005,6479,8389,11019
54,346,346.000,369,879,2001,2881,3477,6992,9228,10945,17913
55,321,321.000,338,950,2190,3105,3766,6783,8297,15687,17683
56,304,304.000,358,1572,2254,3282,4797,7182,8093,10074,17512
57,394,394.000,363,831,1838,2538,3064,6130,7856,11079,17269
58,357,357.000,288,947,1975,2778,3725,6258,7596,8754,17268
59,351,351.000,346,1119,1942,2823,3640,6205,7686,11547,15194
