Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.400,2.279,1.161,1.471,1.992,2.405,2.672,3.526,13.479,13.479,0.439
5,10.600,1.828,1.099,1.412,1.635,2.036,2.519,2.837,4.560,4.560,0.547
10,10.400,2.024,0.976,1.480,1.765,2.233,3.235,3.735,5.703,5.703,0.494
15,8.000,2.543,1.303,1.673,1.897,2.882,3.403,5.849,15.177,15.177,0.393
20,13.000,1.917,1.270,1.511,1.796,2.155,2.692,3.234,4.254,4.254,0.522
25,9.800,2.061,1.232,1.624,1.975,2.277,2.684,2.943,5.056,5.056,0.485
30,10.200,1.962,1.045,1.568,1.806,2.190,2.737,3.109,3.703,3.703,0.510
35,11.000,2.213,1.254,1.656,2.072,2.522,3.104,3.915,4.062,4.062,0.452
40,11.400,2.071,1.190,1.638,1.801,2.411,2.982,3.432,3.912,3.912,0.483
45,8.000,2.229,1.275,1.619,1.986,2.542,3.084,5.670,6.779,6.779,0.449
50,9.600,2.072,1.295,1.672,1.887,2.148,2.919,3.551,5.842,5.842,0.483
55,11.200,1.844,1.199,1.513,1.753,2.116,2.451,3.043,3.414,3.414,0.542
